noches_viaje,gasto_total_cop
3,400000.0
3,400000.0
2,100000.0
3,600000.0
3,600000.0
2,500000.0
2,500000.0
2,780000.0
2,780000.0
4,1800000.0
4,1800000.0
8,6000000.0
3,830000.0
3,700000.0
3,700000.0
3,3000000.0
5,500000.0
13,2300000.0
5,1700000.0
2,1200000.0
1,200000.0
6,1000000.0
1,200000.0
1,200000.0
2,1000000.0
2,1500000.0
3,250000.0
4,3000000.0
11,1000000.0
2,224000.0
2,224000.0
2,224000.0
2,224000.0
1,100000.0
1,100000.0
6,500000.0
1,400000.0
1,400000.0
1,125000.0
2,98000.0
1,224000.0
4,6000000.0
2,400000.0
6,250400.0
2,370000.0
2,370000.0
4,1500000.0
5,1000000.0
20,2000000.0
20,2000000.0
2,700000.0
2,320000.0
6,2000000.0
1,220000.0
1,500000.0
1,500000.0
2,1800000.0
2,1800000.0
4,1500000.0
1,680000.0
3,300000.0
5,500000.0
7,1000000.0
7,1000000.0
5,1800000.0
5,1800000.0
2,1100000.0
2,1100000.0
3,4000000.0
3,4000000.0
2,300000.0
3,200000.0
5,800000.0
3,400000.0
1,250000.0
3,320000.0
4,700000.0
3,1320000.0
2,340000.0
4,2100000.0
3,700000.0
1,150000.0
1,300000.0
1,300000.0
1,300000.0
1,80000.0
2,50000.0
2,800000.0
3,1480000.0
13,500000.0
2,200000.0
4,500000.0
3,200000.0
5,2200000.0
2,250000.0
2,300000.0
2,86200.0
22,2000000.0
22,2000000.0
3,2000000.0
5,1000000.0
2,890000.0
2,890000.0
1,550000.0
9,2000000.0
9,2000000.0
2,2000000.0
2,2000000.0
3,4000000.0
3,4000000.0
3,4000000.0
3,4000000.0
1,480000.0
1,450000.0
1,450000.0
3,2500000.0
3,800000.0
3,800000.0
6,300000.0
1,1000000.0
1,1000000.0
4,80000.0
1,70000.0
2,220000.0
5,450000.0
15,1700000.0
3,500000.0
1,120000.0
3,500000.0
5,1200000.0
2,1000000.0
4,1000000.0
3,730000.0
2,510000.0
15,2000000.0
6,400000.0
1,70000.0
1,70000.0
1,70000.0
1,300000.0
1,700000.0
1,700000.0
1,700000.0
5,3240000.0
5,3240000.0
6,970000.0
2,423750.0
2,400000.0
2,400000.0
2,200000.0
2,200000.0
2,200000.0
1,170000.0
1,50000.0
4,2000000.0
3,600000.0
3,350000.0
3,350000.0
3,350000.0
5,860000.0
1,650000.0
1,650000.0
1,650000.0
2,1200000.0
2,1200000.0
2,1200000.0
3,200000.0
5,1070000.0
1,250000.0
1,250000.0
2,760000.0
2,150000.0
1,450000.0
1,450000.0
5,350000.0
2,670000.0
2,200000.0
2,200000.0
3,150000.0
15,1800000.0
15,1800000.0
15,1800000.0
1,600000.0
1,500000.0
1,500000.0
1,500000.0
1,500000.0
2,430000.0
3,330000.0
2,200000.0
2,200000.0
1,800000.0
1,800000.0
1,200000.0
1,200000.0
1,50000.0
4,1800000.0
4,1800000.0
4,1800000.0
4,1800000.0
4,1800000.0
1,440000.0
1,440000.0
7,170000.0
3,600000.0
3,600000.0
2,80000.0
2,100000.0
2,100000.0
1,50000.0
1,80000.0
1,350000.0
1,350000.0
1,600000.0
3,250000.0
4,300000.0
7,120000.0
9,330000.0
2,140000.0
20,1000000.0
2,390000.0
8,720000.0
6,350000.0
10,225000.0
2,200000.0
2,1600000.0
2,1600000.0
1,140000.0
2,100000.0
3,200000.0
7,240000.0
8,1000000.0
8,1000000.0
3,400000.0
4,600000.0
1,450000.0
1,2000000.0
1,2000000.0
1,2000000.0
1,2000000.0
1,2000000.0
3,80000.0
1,78000.0
2,600000.0
1,250000.0
15,3800000.0
1,100000.0
7,3500000.0
2,400000.0
5,900000.0
5,600000.0
1,300000.0
1,300000.0
2,120000.0
11,150000.0
15,1000000.0
5,200000.0
3,800000.0
2,150000.0
15,700000.0
8,500000.0
7,2000000.0
7,2000000.0
7,2000000.0
4,1000000.0
4,1000000.0
3,500000.0
2,600000.0
1,250000.0
5,6000000.0
5,6000000.0
5,6000000.0
2,2700000.0
2,2700000.0
2,200000.0
2,70000.0
2,140000.0
1,500000.0
3,200000.0
1,320000.0
1,100000.0
7,1080000.0
8,580000.0
5,300000.0
4,500000.0
15,300000.0
3,2300000.0
2,400000.0
3,1600000.0
3,1600000.0
3,2500000.0
3,2500000.0
1,100000.0
3,1250000.0
2,700000.0
3,140000.0
3,140000.0
1,200000.0
1,200000.0
1,200000.0
1,200000.0
2,150000.0
2,1600000.0
2,1600000.0
3,440000.0
2,50000.0
4,1800000.0
2,270000.0
10,400000.0
2,50000.0
3,60000.0
3,1300000.0
4,50000.0
4,50000.0
1,680000.0
15,280000.0
3,1200000.0
3,1200000.0
2,300000.0
2,300000.0
2,106000.0
3,1500000.0
3,1500000.0
10,700000.0
1,200000.0
1,200000.0
2,85000.0
2,670000.0
2,670000.0
4,1200000.0
2,670000.0
6,250000.0
6,250000.0
1,200000.0
29,600000.0
1,150000.0
7,300000.0
3,800000.0
7,400000.0
2,300000.0
3,300000.0
3,1000000.0
3,1000000.0
3,360000.0
3,360000.0
2,260000.0
5,500000.0
1,245000.0
1,220000.0
1,130000.0
1,125000.0
1,125000.0
13,3500000.0
4,300000.0
4,300000.0
3,300000.0
3,100000.0
2,1600000.0
1,50000.0
3,824000.0
3,824000.0
2,300000.0
2,50000.0
4,1380000.0
2,900000.0
2,1200000.0
2,1200000.0
3,1500000.0
11,1500000.0
6,600000.0
6,600000.0
2,1000000.0
3,1000000.0
5,150000.0
2,100000.0
2,100000.0
2,1200000.0
5,1875000.0
1,300000.0
1,300000.0
1,600000.0
2,545000.0
2,545000.0
2,545000.0
1,50000.0
10,1200000.0
1,150000.0
1,660000.0
1,380000.0
1,380000.0
1,380000.0
1,380000.0
2,180000.0
3,150000.0
3,150000.0
2,600000.0
7,4000000.0
2,200000.0
5,8000000.0
5,8000000.0
5,8000000.0
5,8000000.0
5,8000000.0
7,10000000.0
7,10000000.0
7,10000000.0
7,10000000.0
6,500000.0
3,700000.0
15,260000.0
7,1000000.0
7,1000000.0
4,2000000.0
4,2000000.0
3,950000.0
1,600000.0
2,600000.0
2,250000.0
4,90000.0
4,2000000.0
16,500000.0
2,570000.0
2,570000.0
1,400000.0
4,1000000.0
3,3300000.0
6,1500000.0
3,2000000.0
3,1000000.0
4,1500000.0
11,500000.0
5,1000000.0
8,10000000.0
8,10000000.0
8,10000000.0
15,2000000.0
15,2000000.0
3,1000000.0
1,250000.0
2,350000.0
2,350000.0
2,50000.0
3,300000.0
15,3000000.0
15,3000000.0
3,160000.0
3,1400000.0
3,3000000.0
3,3000000.0
3,3000000.0
2,1500000.0
2,2550000.0
1,600000.0
1,700000.0
3,2500000.0
2,400000.0
3,2500000.0
3,2500000.0
5,450000.0
2,150000.0
1,120000.0
3,400000.0
4,1000000.0
4,500000.0
4,500000.0
4,500000.0
1,600000.0
1,600000.0
1,600000.0
6,1500000.0
2,50000.0
3,500000.0
3,500000.0
1,476000.0
1,476000.0
1,476000.0
1,476000.0
2,120000.0
1,250000.0
4,300000.0
14,600000.0
5,100000.0
2,800000.0
2,800000.0
2,800000.0
6,1950000.0
2,100000.0
5,800000.0
2,300000.0
3,140000.0
4,1300000.0
6,1400000.0
3,1000000.0
3,910000.0
7,450000.0
2,280000.0
2,280000.0
4,773000.0
4,1800000.0
4,1800000.0
4,400000.0
4,3000000.0
4,3000000.0
4,3000000.0
4,3000000.0
2,1270000.0
10,500000.0
2,4000000.0
21,800000.0
8,120000.0
3,2500000.0
3,2500000.0
1,80000.0
1,80000.0
2,500000.0
10,1500000.0
10,1500000.0
12,500000.0
2,170000.0
2,170000.0
6,2500000.0
1,450000.0
2,300000.0
2,300000.0
4,1000000.0
2,300000.0
1,500000.0
2,170000.0
2,170000.0
3,2800000.0
1,600000.0
1,600000.0
1,600000.0
1,600000.0
1,400000.0
1,400000.0
1,400000.0
4,500000.0
4,500000.0
4,4200000.0
4,4200000.0
3,150000.0
7,150000.0
8,2000000.0
8,2000000.0
7,600000.0
7,200000.0
9,900000.0
3,100000.0
2,900000.0
2,1200000.0
15,3000000.0
1,600000.0
15,2330000.0
17,380000.0
3,1200000.0
3,1200000.0
2,500000.0
3,500000.0
1,140000.0
3,260000.0
2,900000.0
2,900000.0
1,400000.0
1,400000.0
1,200000.0
1,200000.0
1,200000.0
1,200000.0
1,320000.0
3,1100000.0
3,1100000.0
2,189000.0
2,134000.0
1,200000.0
1,200000.0
1,220000.0
1,100000.0
3,1500000.0
3,1500000.0
1,300000.0
1,300000.0
1,230000.0
2,4130000.0
2,4130000.0
3,1450000.0
3,1450000.0
3,1450000.0
1,130000.0
3,462000.0
7,1800000.0
7,1800000.0
7,1800000.0
24,800000.0
6,900000.0
6,900000.0
1,50000.0
8,1187000.0
10,490000.0
2,136000.0
4,1200000.0
4,1200000.0
7,500000.0
7,500000.0
3,600000.0
3,530000.0
1,280000.0
8,1000000.0
8,1000000.0
1,450000.0
1,450000.0
1,450000.0
1,100000.0
3,300000.0
3,300000.0
3,300000.0
2,2200000.0
1,420000.0
2,1000000.0
2,1000000.0
2,1000000.0
4,1000000.0
4,1000000.0
3,500000.0
17,60000.0
10,60000.0
18,450000.0
18,450000.0
3,150000.0
3,150000.0
11,300000.0
1,50000.0
1,50000.0
1,50000.0
1,50000.0
1,125000.0
1,125000.0
2,196000.0
1,50000.0
5,400000.0
6,1300000.0
10,2600000.0
10,2600000.0
2,380000.0
7,2300000.0
1,80000.0
5,3500000.0
5,3500000.0
5,3500000.0
2,750000.0
3,110000.0
2,270000.0
3,1280000.0
3,1280000.0
13,1200000.0
5,300000.0
3,600000.0
3,600000.0
3,600000.0
10,300000.0
2,2000000.0
2,2000000.0
2,2000000.0
2,200000.0
2,200000.0
2,200000.0
8,2400000.0
1,50000.0
4,300000.0
4,800000.0
4,1000000.0
27,150000.0
1,300000.0
1,300000.0
1,300000.0
8,3090000.0
1,300000.0
1,300000.0
2,450000.0
3,1200000.0
3,2000000.0
3,2000000.0
10,2000000.0
10,2000000.0
2,370000.0
2,500000.0
2,500000.0
1,570000.0
1,570000.0
15,800000.0
2,1100000.0
3,1600000.0
3,1600000.0
2,50000.0
10,1300000.0
11,1200000.0
11,1200000.0
11,1200000.0
5,600000.0
5,600000.0
5,600000.0
3,150000.0
15,270000.0
15,270000.0
15,270000.0
15,270000.0
3,180000.0
3,200000.0
3,1300000.0
4,600000.0
5,900000.0
4,2000000.0
2,460000.0
12,300000.0
4,100000.0
6,800000.0
10,300000.0
21,3000000.0
3,5000000.0
3,5000000.0
3,5000000.0
7,4000000.0
7,4000000.0
7,4000000.0
10,3000000.0
10,3000000.0
10,3000000.0
4,700000.0
4,700000.0
6,1500000.0
11,4000000.0
7,600000.0
1,930000.0
1,930000.0
3,1120000.0
3,1120000.0
4,880000.0
10,60000.0
9,300000.0
1,500000.0
3,150000.0
2,100000.0
3,500000.0
5,1200000.0
3,90000.0
3,300000.0
9,500000.0
2,120000.0
20,2500000.0
10,2000000.0
10,4000000.0
10,4000000.0
1,200000.0
11,500000.0
3,50000.0
5,1000000.0
5,600000.0
5,2500000.0
15,2000000.0
6,2000000.0
6,2000000.0
3,600000.0
3,600000.0
3,600000.0
8,100000.0
3,500000.0
3,500000.0
7,5000000.0
8,50000.0
3,300000.0
1,200000.0
1,200000.0
1,200000.0
3,600000.0
5,100000.0
2,200000.0
13,1000000.0
3,500000.0
1,1500000.0
1,1500000.0
1,1500000.0
1,1500000.0
9,4000000.0
9,4000000.0
9,4000000.0
9,4000000.0
9,4000000.0
4,4000000.0
5,170000.0
7,600000.0
7,600000.0
2,1040000.0
9,200000.0
14,300000.0
5,600000.0
7,2500000.0
7,2500000.0
7,2500000.0
1,400000.0
1,100000.0
1,200000.0
8,4000000.0
6,4650000.0
6,4650000.0
6,4650000.0
4,1500000.0
4,1500000.0
3,600000.0
3,600000.0
6,1050000.0
2,100000.0
2,100000.0
4,500000.0
16,150000.0
4,500000.0
4,500000.0
4,500000.0
4,500000.0
4,500000.0
2,860000.0
2,250000.0
2,250000.0
5,600000.0
5,600000.0
2,500000.0
2,500000.0
3,240000.0
9,180000.0
8,2500000.0
8,2500000.0
1,70000.0
3,1000000.0
3,1000000.0
3,1000000.0
3,1000000.0
3,1000000.0
4,160000.0
4,80000.0
5,160000.0
4,600000.0
4,600000.0
3,2000000.0
5,3000000.0
5,3000000.0
6,1000000.0
6,1000000.0
6,1000000.0
22,680000.0
9,1308000.0
2,730000.0
2,730000.0
2,730000.0
14,460000.0
1,250000.0
1,160000.0
3,300000.0
3,300000.0
3,300000.0
9,1500000.0
10,2000000.0
3,7000000.0
3,7000000.0
7,1000000.0
7,1000000.0
7,1000000.0
2,300000.0
2,300000.0
3,1000000.0
3,400000.0
2,250000.0
2,200000.0
17,1480000.0
17,1480000.0
2,600000.0
2,600000.0
15,1300000.0
15,1300000.0
1,100000.0
4,825000.0
1,290000.0
1,290000.0
1,290000.0
1,290000.0
7,5000000.0
7,5000000.0
7,5000000.0
4,4000000.0
12,3000000.0
3,100000.0
1,90000.0
1,90000.0
2,190000.0
2,190000.0
5,2000000.0
5,2000000.0
8,600000.0
7,600000.0
1,400000.0
1,400000.0
2,140000.0
3,1000000.0
3,1000000.0
2,200000.0
2,200000.0
1,390000.0
5,300000.0
5,300000.0
6,1100000.0
1,220000.0
3,350000.0
3,350000.0
2,500000.0
2,500000.0
4,200000.0
4,300000.0
1,500000.0
1,500000.0
1,500000.0
2,200000.0
2,200000.0
2,200000.0
3,510000.0
4,2000000.0
4,2000000.0
6,100000.0
2,500000.0
2,500000.0
9,3050000.0
9,3050000.0
1,200000.0
2,700000.0
2,200000.0
6,400000.0
3,1000000.0
3,1000000.0
3,1500000.0
3,850000.0
14,4000000.0
14,4000000.0
3,1000000.0
2,1000000.0
3,3000000.0
3,300000.0
1,450000.0
1,300000.0
1,300000.0
4,300000.0
5,1020000.0
5,1020000.0
1,70000.0
2,200000.0
2,200000.0
2,200000.0
2,280000.0
1,60000.0
1,90000.0
4,410000.0
9,6000000.0
9,6000000.0
9,6000000.0
6,500000.0
3,3000000.0
3,3000000.0
7,8000000.0
7,8000000.0
7,400000.0
7,400000.0
2,1190000.0
1,830000.0
1,830000.0
2,1000000.0
2,1000000.0
2,1000000.0
2,100000.0
2,100000.0
2,100000.0
6,1500000.0
7,500000.0
7,500000.0
15,100000.0
7,500000.0
1,200000.0
1,200000.0
4,4500000.0
4,4500000.0
3,700000.0
3,700000.0
3,700000.0
3,450000.0
3,450000.0
10,2500000.0
10,2500000.0
10,2500000.0
4,500000.0
7,2000000.0
7,2000000.0
7,2000000.0
3,700000.0
5,2180000.0
5,2180000.0
5,2180000.0
5,2180000.0
4,3380000.0
4,3380000.0
5,615000.0
5,615000.0
5,600000.0
2,1000000.0
1,80000.0
1,80000.0
2,1200000.0
2,1200000.0
6,3000000.0
6,1400000.0
10,1500000.0
8,3000000.0
8,3000000.0
8,3000000.0
3,1100000.0
3,1500000.0
5,3000000.0
5,3000000.0
8,2700000.0
6,1000000.0
7,6500000.0
7,6500000.0
7,6500000.0
4,1900000.0
8,1000000.0
8,1000000.0
3,100000.0
3,200000.0
2,50000.0
30,700000.0
3,50000.0
2,450000.0
2,450000.0
2,1100000.0
2,1100000.0
2,1100000.0
4,4000000.0
